libro_id,titulo,sesiones_mes_3,sesiones_mes_2,sesiones_mes_1,usuarios_unicos_3m,promedio_tiempo_segundos_3m,porcentaje_promedio_avance_3m,prestamos_mes_3,prestamos_mes_2,prestamos_mes_1,tendencia_sesiones,tendencia_prestamos
53,Transition to General Practice Nursing Ingles,0,1,0,1,1465.00,13.92,3,4,6,0.0000,0.2308
54,Manual de Procedimentos Básicos de Enfermería,4,3,2,8,2565.78,46.28,42,70,43,-0.2222,0.0065
55,Anatomía General Portugués,5,11,6,15,4257.50,46.42,4,4,1,0.0455,-0.3333
56,Anatomía Aplicada para Estudiantes de Odontología,2,3,4,7,3891.89,43.70,56,58,56,0.2222,0.0000
57,Manual de técnicas y procedimientos de enfermería,0,0,1,1,8775.00,73.66,4,5,4,1.0000,0.0000
58,Manual de Urgencias,0,0,0,0,0.00,0.00,3,6,0,0.0000,-0.3333
59,Principales Procedimientos Básicos de Enfermería,2,1,2,5,9127.60,58.21,37,53,42,0.0000,0.0379
60,Patología cardiovascular sociedad espanola de farmacia hospitalaria,0,0,1,1,7698.00,84.99,4,2,3,1.0000,-0.1111
61,Manual de Técnicas de Enfermería Eduardo Herrera Ximena Moreno y Carolina Sánchez,0,0,0,0,0.00,0.00,2,7,5,0.0000,0.2143
62,Cuidados básicos de enfermería,0,0,0,0,0.00,0.00,54,50,45,0.0000,-0.0604
63,Cuidados básicos,0,0,0,0,0.00,0.00,45,60,39,0.0000,-0.0417
64,Manual Técnicas de Enfermería,0,1,1,2,4721.00,34.79,5,4,2,0.5000,-0.2727
65,Enfermería Materno-Infantil,0,0,0,0,0.00,0.00,47,33,40,0.0000,-0.0583
66,Enfermería  quirúrgica,0,0,0,0,0.00,0.00,39,64,49,0.0000,0.0658
67,Salud Pública y Enfermería  Comunitaria,1,1,0,2,14887.00,88.32,45,46,49,-0.5000,0.0286
69,Fundamentos de Microbiología Clínica y Control de Infecciones,0,1,2,3,3801.33,51.62,55,45,39,0.6667,-0.1151
70,Microbiología Clínica y Control de Infecciones: manual para estudiantes de enfermería,2,4,2,7,2952.50,38.81,45,41,49,0.0000,0.0296
71,Microbiología Clínica y Control de Infecciones: casos clínicos y planes de cuidado,5,1,0,5,5083.83,60.09,41,37,43,-0.8333,0.0165
72,Valoración integral en Microbiología Clínica y Control de Infecciones,0,0,0,0,0.00,0.00,50,50,45,0.0000,-0.0345
73,Procedimientos esenciales de Microbiología Clínica y Control de Infecciones,4,4,1,8,7668.78,57.08,57,55,49,-0.3333,-0.0497
74,Guía práctica de Microbiología Clínica y Control de Infecciones,3,3,2,8,8792.38,53.95,42,39,36,-0.1250,-0.0513
75,Microbiología Clínica y Control de Infecciones basada en evidencia,2,2,1,5,7980.20,48.47,48,53,46,-0.2000,-0.0136
76,Razonamiento clínico aplicado a Microbiología Clínica y Control de Infecciones,0,0,0,0,0.00,0.00,37,44,42,0.0000,0.0407
77,Protocolos de atención en Microbiología Clínica y Control de Infecciones,2,3,1,5,2723.50,48.22,33,44,32,-0.1667,-0.0092
78,Seguridad del paciente en Microbiología Clínica y Control de Infecciones,4,6,4,12,4613.71,48.65,42,36,41,0.0000,-0.0084
79,Intervenciones de enfermería en Microbiología Clínica y Control de Infecciones,3,4,5,9,5527.08,56.97,43,52,57,0.1667,0.0921
80,Evaluación y seguimiento en Microbiología Clínica y Control de Infecciones,0,0,0,0,0.00,0.00,41,46,48,0.0000,0.0519
81,Fundamentos de Nutrición Clínica y Dietoterapia,1,5,3,8,6402.44,49.62,42,45,33,0.2222,-0.0750
82,Nutrición Clínica y Dietoterapia: manual para estudiantes de enfermería,3,6,2,8,7428.45,46.33,44,53,35,-0.0909,-0.0682
